Album,Artist,Date Added,Link
Six Songs - EP,Tom Misch,2025-01-06T23:48:19Z,https://music.apple.com/us/album/six-songs-ep/1783549839
i just want next year to be better - EP,bby,2025-01-06T23:48:09Z,https://music.apple.com/us/album/i-just-want-next-year-to-be-better-ep/1781348674
Ctrl+Z,Plutato,2025-01-06T23:48:03Z,https://music.apple.com/us/album/ctrl-z/1784986157
2014 Forest Hills Drive (10 Year Anniversary Edition),J. Cole,2025-01-06T23:43:10Z,https://music.apple.com/us/album/2014-forest-hills-drive-10-year-anniversary-edition/1786468896
Goddess: Unplugged,BANKS,2025-01-06T23:43:04Z,https://music.apple.com/us/album/goddess-unplugged/1783153939
SOS Deluxe: LANA,SZA,2025-01-06T23:42:59Z,https://music.apple.com/us/album/sos-deluxe-lana/1786643044
DeBÍ TiRAR MáS FOToS,Bad Bunny,2025-01-06T23:39:34Z,https://music.apple.com/us/album/deb%C3%AD-tirar-m%C3%A1s-fotos/1787022393
Hazbin Hotel (Original Soundtrack),Various Artists,2025-01-06T05:53:11Z,https://music.apple.com/us/album/hazbin-hotel-original-soundtrack/1728139119
Alexithymia (Deluxe Edition),Quinn Oulton,2025-01-02T16:37:44Z,https://music.apple.com/us/album/alexithymia-deluxe-edition/1682512178
Lead You To Water - EP,Quinn Oulton,2025-01-02T16:37:42Z,https://music.apple.com/us/album/lead-you-to-water-ep/1763074697
Patchwork,Jesse Welles,2024-12-31T00:04:35Z,https://music.apple.com/us/album/patchwork/1767401260
Hells Welles,Jesse Welles,2024-12-31T00:04:31Z,https://music.apple.com/us/album/hells-welles/1753983981
Plastique - Single,Camille Yembe,2024-12-30T23:55:07Z,https://music.apple.com/us/album/plastique-single/1781295927
Bloodline Maintenance,Ben Harper,2024-12-30T19:10:25Z,https://music.apple.com/us/album/bloodline-maintenance/1626896008
Radical Optimism,Dua Lipa,2024-12-30T11:40:31Z,https://music.apple.com/us/album/radical-optimism/1734980417
Music From The Merch Desk (2016 - 2023),Aphex Twin,2024-12-30T11:36:37Z,https://music.apple.com/us/album/music-from-the-merch-desk-2016-2023/1779444763
Drama - Single,Rex Orange County,2024-12-30T11:36:03Z,https://music.apple.com/us/album/drama-single/1784314900
+-=÷× (Tour Collection: Live),Ed Sheeran,2024-12-30T11:35:36Z,https://music.apple.com/us/album/tour-collection-live/1784250923
My Mind - Single,Dani Rami,2024-12-30T11:27:20Z,https://music.apple.com/us/album/my-mind-single/1787304772
Infants Under the Bulb,Uranium Club,2024-12-29T02:15:37Z,https://music.apple.com/us/album/infants-under-the-bulb/1725984176
Problématique,Kim Petras,2024-12-28T19:25:53Z,https://music.apple.com/us/album/probl%C3%A9matique/1706876791
Keyframe,Brandon Delehoy,2024-12-28T05:54:23Z,https://music.apple.com/us/album/keyframe/1773031307
History Made,Vo Williams,2024-12-23T19:21:28Z,https://music.apple.com/us/album/history-made/1771784411
Follow the Cyborg (Remixes),Miss Grit,2024-12-22T21:00:05Z,https://music.apple.com/us/album/follow-the-cyborg-remixes/1716813443
MG Ultra,Machine Girl,2024-12-20T21:14:58Z,https://music.apple.com/us/album/mg-ultra/1760303228
Mouthwashing (Original Soundtrack),Wrong Organ,2024-12-20T16:32:27Z,https://music.apple.com/us/album/mouthwashing-original-soundtrack/1773098404
